"Product ID","Air temperature [K]","Process temperature [K]","Rotational speed [rpm]","Torque [Nm]","Tool wear [min]","Failure Type"
"M17736","300.5","309.3","1578","30.5","34","No Failure"
"M17737","300.5","309.4","1655","32.1","37","No Failure"
"H32292","300.5","309.4","1502","34.3","40","No Failure"
"M17739","300.6","309.4","1367","63.2","45","Power Failure"
"L50060","300.7","309.5","1541","37.2","48","No Failure"
"M17741","300.6","309.6","1588","37.0","50","No Failure"
"L50062","300.6","309.6","1684","32.8","53","No Failure"
"L50063","300.6","309.5","1437","40.0","55","No Failure"
"L50064","300.6","309.6","1409","42.4","57","No Failure"
"M17745","300.5","309.5","1320","49.9","59","No Failure"
"H32300","300.5","309.5","1635","34.2","62","No Failure"
"M17747","300.5","309.5","1691","27.6","67","No Failure"
"M17748","300.6","309.6","1365","50.0","70","No Failure"
"M17749","300.7","309.7","1523","38.2","73","No Failure"
"L50070","300.6","309.7","1593","32.4","76","No Failure"
"L50071","300.6","309.6","1682","30.7","78","No Failure"
"L50072","300.7","309.6","1329","54.3","80","No Failure"
"M17753","300.7","309.6","1568","35.2","82","No Failure"
"L50074","300.7","309.6","1733","24.8","85","No Failure"
"M17755","300.7","309.6","1473","48.1","87","No Failure"
"M17756","300.7","309.5","1633","31.3","90","No Failure"
"M17757","300.6","309.5","1530","40.2","93","No Failure"
"M17758","300.6","309.5","1550","40.2","96","No Failure"
"L50079","300.6","309.4","1410","40.6","99","No Failure"
"L50080","300.5","309.3","1574","33.5","101","No Failure"
"L50081","300.6","309.4","1425","40.3","103","No Failure"
"M17762","300.6","309.4","1541","35.2","105","No Failure"
"M17763","300.7","309.5","1733","26.7","108","No Failure"
"L50084","300.6","309.4","2496","13.5","111","No Failure"
"L50085","300.6","309.4","1552","36.4","113","No Failure"
"L50086","300.6","309.3","1409","38.7","115","No Failure"
"M17767","300.6","309.4","1581","35.7","117","No Failure"
"L50088","300.7","309.5","1251","59.9","120","No Failure"
"L50089","300.7","309.6","1500","44.1","122","No Failure"
"L50090","300.6","309.5","1576","38.8","124","No Failure"
"M17771","300.7","309.5","1352","44.0","126","No Failure"
"L50092","300.7","309.6","1661","30.3","129","No Failure"
"L50093","300.7","309.6","1541","34.6","131","No Failure"
"H32328","300.6","309.6","1888","20.5","133","No Failure"
"L50095","300.5","309.5","1255","62.1","138","No Failure"
"L50096","300.6","309.6","1411","41.6","140","No Failure"
"L50097","300.6","309.5","1516","39.0","142","No Failure"
"M17778","300.6","309.5","1492","34.0","144","No Failure"
"L50099","300.6","309.6","1726","30.0","147","No Failure"
"L50100","300.7","309.7","1598","33.7","149","No Failure"
"L50101","300.8","309.8","1657","31.1","151","No Failure"
"L50102","300.8","309.7","1481","38.1","153","No Failure"
"M17783","300.7","309.7","1397","51.3","155","No Failure"
"L50104","300.8","309.7","1461","44.3","158","No Failure"
"M17785","300.7","309.6","1388","51.1","160","No Failure"
"L50106","300.7","309.7","1507","52.4","163","No Failure"
"M17787","300.7","309.6","1421","49.8","165","No Failure"
"M17788","300.8","309.7","1258","54.9","168","No Failure"
"M17789","300.8","309.7","1482","39.0","171","No Failure"
"H32344","300.7","309.6","1403","51.3","174","No Failure"
"L50111","300.8","309.7","1373","45.4","179","No Failure"
"L50112","300.9","309.7","1460","42.1","181","No Failure"
"M17793","300.8","309.7","1751","27.9","183","No Failure"
"M17794","300.8","309.6","1546","42.3","186","No Failure"
"M17795","300.8","309.7","1680","28.2","189","No Failure"
"M17796","300.9","309.7","1394","48.8","192","No Failure"
"L50117","300.7","309.6","1810","26.0","195","No Failure"
"L50118","300.7","309.5","1479","34.5","197","No Failure"
"L50119","300.9","309.7","1431","41.4","199","No Failure"
"L50120","300.9","309.7","2355","14.4","201","No Failure"
"M17801","300.7","309.6","1996","19.8","203","Tool Wear Failure"
"L50122","300.7","309.5","1461","49.9","0","No Failure"
"H32357","300.7","309.5","2007","19.7","2","No Failure"
"L50124","300.7","309.6","1505","34.9","7","No Failure"
"H32359","300.7","309.6","1925","20.5","9","No Failure"
"M17806","300.7","309.5","1622","30.5","14","No Failure"
"L50127","300.7","309.5","1592","29.0","17","No Failure"
"L50128","300.7","309.5","1850","24.5","19","No Failure"
"M17809","300.7","309.5","1470","48.7","21","No Failure"
"M17810","300.7","309.5","1445","46.4","24","No Failure"
"L50131","300.7","309.5","1685","31.1","27","No Failure"
"H32366","300.7","309.5","1667","30.5","29","No Failure"
"L50133","300.7","309.5","1578","35.4","34","No Failure"
"H32368","300.6","309.4","1691","28.0","36","No Failure"
"M17815","300.7","309.5","1439","43.8","41","No Failure"
"M17816","300.8","309.6","1404","38.7","44","No Failure"
"L50137","300.8","309.6","1498","45.8","47","No Failure"
"M17818","300.8","309.5","1481","44.5","49","No Failure"
"M17819","300.7","309.4","1589","35.0","52","No Failure"
"L50140","300.7","309.5","1467","44.3","55","No Failure"
"L50141","300.6","309.4","1654","32.8","57","No Failure"
"L50142","300.7","309.5","1508","39.9","59","No Failure"
"M17823","300.7","309.6","1439","43.0","61","No Failure"
"L50144","300.7","309.5","1692","30.3","64","No Failure"
"M17825","300.7","309.5","1838","24.9","66","No Failure"
"L50146","300.6","309.3","1601","40.2","69","No Failure"
"L50147","300.6","309.4","1369","51.6","71","No Failure"
"M17828","300.6","309.4","1312","45.2","73","No Failure"
"L50149","300.6","309.4","1468","44.1","76","No Failure"
"M17830","300.6","309.4","1452","39.4","78","No Failure"
"M17831","300.7","309.5","1393","43.9","81","No Failure"
"M17832","300.6","309.4","1432","44.2","84","No Failure"
"M17833","300.6","309.3","1510","46.0","87","No Failure"
"M17834","300.6","309.4","1521","37.2","90","No Failure"
"H32389","300.5","309.4","1360","46.2","93","No Failure"
"M17836","300.5","309.3","1881","25.5","98","No Failure"
"L50157","300.4","309.3","1413","50.3","101","No Failure"
"H32392","300.5","309.4","1642","36.2","103","No Failure"
"L50159","300.5","309.5","1542","38.5","108","No Failure"
"L50160","300.4","309.5","1447","39.3","110","No Failure"
"H32395","300.4","309.4","1530","40.4","112","No Failure"
"L50162","300.5","309.5","1795","27.7","117","No Failure"
"L50163","300.6","309.6","1290","57.4","119","No Failure"
"L50164","300.6","309.7","1639","30.4","121","No Failure"
"L50165","300.7","309.8","1596","31.5","123","No Failure"
"L50166","300.6","309.8","1455","48.0","125","No Failure"
"M17847","300.6","309.8","1659","28.9","127","No Failure"
"M17848","300.6","309.8","1532","42.5","130","No Failure"
"L50169","300.6","309.8","1502","42.4","133","No Failure"
"L50170","300.6","309.8","1688","28.6","135","No Failure"
"M17851","300.5","309.7","1341","50.9","137","No Failure"
"M17852","300.5","309.7","1685","29.4","140","No Failure"
"M17853","300.5","309.8","1370","55.9","143","No Failure"
"L50174","300.5","309.8","1461","52.5","146","No Failure"
"L50175","300.5","309.8","1550","37.4","148","No Failure"
"M17856","300.5","309.8","1508","37.8","150","No Failure"
"L50177","300.5","309.8","1345","62.7","153","No Failure"
"L50178","300.5","309.7","1616","34.5","155","No Failure"
"L50179","300.5","309.7","1395","61.0","157","No Failure"
"H32414","300.5","309.8","1324","72.8","159","Power Failure"
"L50181","300.5","309.8","1445","43.9","164","No Failure"
"M17862","300.5","309.8","1555","38.9","166","No Failure"
"M17863","300.6","309.9","1449","42.4","169","No Failure"
"M17864","300.5","309.9","1466","53.2","172","No Failure"
"L50185","300.5","309.9","1503","37.4","175","No Failure"
"L50186","300.4","309.7","1488","35.7","177","No Failure"
"L50187","300.4","309.7","1314","50.2","179","No Failure"
"M17868","300.4","309.7","1547","38.0","181","No Failure"
"M17869","300.4","309.7","1466","39.8","184","No Failure"
"L50190","300.3","309.6","1537","37.1","187","No Failure"
"M17871","300.2","309.5","1434","51.5","189","No Failure"
"L50192","300.4","309.6","1432","44.7","192","No Failure"
"L50193","300.5","309.6","1390","48.4","194","No Failure"
"L50194","300.5","309.7","1580","42.8","196","No Failure"
"L50195","300.5","309.7","1589","30.5","198","No Failure"
"L50196","300.5","309.8","1441","48.8","200","No Failure"
"L50197","300.5","309.8","1305","51.7","202","No Failure"
"M17878","300.5","309.8","1566","35.9","204","No Failure"
"L50199","300.5","309.8","1379","54.2","207","Overstrain Failure"
"L50200","300.4","309.6","1543","38.1","209","No Failure"
"L50201","300.5","309.8","1421","49.6","211","No Failure"
"L50202","300.5","309.6","1760","30.6","213","No Failure"
"L50203","300.4","309.5","1711","29.2","215","No Failure"
"L50204","300.5","309.6","1465","41.6","217","No Failure"
"L50205","300.5","309.6","1366","50.2","219","No Failure"
"M17886","300.4","309.5","1888","21.9","221","No Failure"
"L50207","300.5","309.5","1777","23.6","0","No Failure"
"L50208","300.5","309.5","1379","55.6","2","No Failure"
"L50209","300.4","309.5","1525","51.3","4","No Failure"
"M17890","300.4","309.6","1563","34.0","6","No Failure"
"M17891","300.5","309.7","1389","43.3","9","No Failure"
"M17892","300.6","309.8","1447","42.9","12","No Failure"
"M17893","300.6","309.7","1934","22.8","15","No Failure"
"H32448","300.6","309.7","1470","43.8","18","No Failure"
"M17895","300.6","309.7","1428","42.6","23","No Failure"
"L50216","300.4","309.6","1319","48.1","26","No Failure"
"L50217","300.5","309.7","1887","24.3","28","No Failure"
"L50218","300.4","309.5","1349","50.4","30","No Failure"
"M17899","300.3","309.5","1665","31.4","32","No Failure"
"L50220","300.3","309.5","1474","38.7","35","No Failure"
"L50221","300.4","309.5","1543","38.9","37","No Failure"
"M17902","300.2","309.4","1459","43.9","39","No Failure"
"L50223","300.3","309.5","1551","37.9","42","No Failure"
"L50224","300.2","309.4","1981","21.4","44","No Failure"
"L50225","300.2","309.4","1526","35.3","46","No Failure"
"M17906","300.2","309.4","1501","40.0","48","No Failure"
"L50227","300.2","309.4","1558","38.3","51","No Failure"
"L50228","300.2","309.3","1532","43.2","53","No Failure"
"L50229","300.1","309.2","1326","55.9","55","No Failure"
"L50230","300.2","309.2","1431","51.3","57","No Failure"
"L50231","300.2","309.3","1366","49.3","59","No Failure"
"L50232","300.1","309.2","1421","42.5","61","No Failure"
"H32467","300.2","309.3","1506","35.6","63","No Failure"
"H32468","300.2","309.3","1342","48.7","68","No Failure"
"L50235","300.1","309.2","1427","37.6","73","No Failure"
"L50236","300.2","309.2","1667","29.9","75","No Failure"
"L50237","300.1","309.1","1400","46.7","77","No Failure"
"L50238","300.0","309.0","1709","32.1","79","No Failure"
"M17919","300.0","309.0","1368","45.8","81","No Failure"
"L50240","300.0","309.1","1882","23.8","84","No Failure"
"L50241","300.1","309.1","1353","58.7","86","No Failure"
"L50242","299.9","309.0","1553","40.0","88","No Failure"
"L50243","300.0","309.1","1431","45.4","90","No Failure"
"M17924","300.1","309.1","1731","30.4","92","No Failure"
"M17925","300.1","309.2","1687","27.7","95","Random Failures"
"M17926","300.1","309.2","1457","44.3","98","No Failure"
"L50247","300.1","309.2","1533","37.0","101","No Failure"
"H32482","300.0","309.0","1622","31.8","103","No Failure"
"L50249","300.0","309.1","1791","28.2","108","No Failure"
"L50250","300.0","309.1","1631","28.3","110","No Failure"
"L50251","300.0","309.0","2174","16.9","112","No Failure"
"L50252","300.1","309.0","1314","58.2","114","No Failure"
"L50253","300.1","309.1","1478","46.9","116","No Failure"
"L50254","300.1","309.2","1783","27.3","118","No Failure"
"M17935","300.1","309.2","1385","46.1","120","No Failure"
"L50256","300.0","309.2","1444","43.6","123","No Failure"
"L50257","300.1","309.3","1841","23.0","125","No Failure"
"M17938","300.1","309.4","1349","56.2","127","No Failure"
"L50259","300.1","309.3","1340","56.0","130","No Failure"
"M17940","299.9","309.2","1539","43.2","132","No Failure"
"M17941","300.0","309.3","1932","21.8","135","No Failure"
"M17942","300.0","309.3","1407","43.9","138","No Failure"
"L50263","300.1","309.3","1712","28.5","141","No Failure"
"H32498","300.1","309.4","1329","55.2","143","No Failure"
"L50265","300.1","309.2","1441","42.9","148","No Failure"
"L50266","300.0","309.2","1610","32.1","150","No Failure"
"M17947","300.0","309.1","1474","45.2","152","No Failure"
"M17948","300.0","309.1","1624","30.8","155","No Failure"
"H32503","300.1","309.3","1520","38.2","158","No Failure"
"H32504","300.1","309.3","1448","45.8","163","No Failure"
"L50271","300.0","309.3","1558","29.7","168","No Failure"
"M17952","300.0","309.3","2293","16.3","170","No Failure"
"L50273","300.0","309.3","1397","51.2","173","No Failure"
"L50274","300.0","309.3","1972","22.0","175","No Failure"
"M17955","299.9","309.2","1574","36.5","177","No Failure"
"L50276","299.9","309.2","1560","38.9","180","No Failure"
"M17957","299.9","309.2","1353","49.8","182","No Failure"
"M17958","299.9","309.2","1389","51.2","185","No Failure"
"M17959","299.9","309.1","1513","43.8","188","No Failure"
"L50280","299.8","309.1","1578","42.1","191","No Failure"
"H32515","299.8","309.0","1467","37.3","193","No Failure"
"L50282","299.9","309.1","1412","48.3","198","No Failure"
"L50283","299.8","309.1","1668","30.3","200","No Failure"
"M17964","299.8","309.2","1678","29.8","202","No Failure"
"L50285","299.8","309.1","1612","35.4","205","No Failure"
"L50286","299.8","309.1","1485","39.9","207","No Failure"
"M17967","299.8","309.1","1456","39.4","209","No Failure"
"L50288","299.8","309.2","1504","38.7","212","No Failure"
"L50289","299.9","309.2","1491","44.3","214","No Failure"
"H32524","299.9","309.2","1525","33.2","0","No Failure"
"L50291","300.0","309.2","1759","27.9","5","No Failure"
"M17972","299.8","309.1","1355","56.7","7","No Failure"
"M17973","299.9","309.1","1345","56.8","10","No Failure"
"M17974","299.9","309.2","1683","30.5","13","No Failure"
"L50295","299.9","309.2","1658","34.8","16","No Failure"
"L50296","300.0","309.2","1566","34.4","18","No Failure"
"M17977","300.1","309.3","1469","43.9","20","No Failure"
"M17978","300.2","309.5","1458","46.9","23","No Failure"
"L50299","300.1","309.4","1858","23.6","26","No Failure"
"H32534","300.1","309.4","1563","40.8","28","No Failure"
"L50301","300.1","309.4","2141","17.9","33","No Failure"
"L50302","300.0","309.3","1473","46.0","35","No Failure"
"H32537","300.0","309.4","1498","38.5","37","No Failure"
"L50304","300.1","309.4","1568","39.7","42","No Failure"
"L50305","300.1","309.4","1694","27.4","44","No Failure"
"L50306","300.0","309.4","1499","35.7","46","No Failure"
"L50307","300.0","309.5","1717","28.3","48","No Failure"
"M17988","300.1","309.5","1462","42.8","50","No Failure"
"L50309","300.1","309.6","1642","34.5","53","No Failure"
"L50310","300.1","309.6","1760","25.4","55","No Failure"
"L50311","300.1","309.5","1660","32.7","57","No Failure"
"L50312","300.1","309.5","1557","40.6","59","No Failure"
"H32547","300.2","309.6","1442","49.2","61","No Failure"
"L50314","300.2","309.6","1359","51.5","66","No Failure"
"L50315","300.4","309.8","1342","52.5","68","No Failure"
"L50316","300.4","309.9","1435","54.8","70","No Failure"
"L50317","300.4","309.9","1567","36.5","72","No Failure"
"L50318","300.4","309.9","1376","43.5","74","No Failure"
"H32553","300.4","309.9","1513","38.7","76","No Failure"
"H32554","300.4","309.9","2563","12.8","81","Power Failure"
"L50321","300.5","310.0","1521","45.1","86","No Failure"
"L50322","300.6","310.0","1658","34.7","88","No Failure"
"H32557","300.6","310.0","1419","42.4","90","No Failure"
"M18004","300.6","310.0","1478","36.3","95","No Failure"
"M18005","300.5","310.0","1415","43.5","98","No Failure"
"M18006","300.5","309.9","1780","26.5","101","No Failure"
"M18007","300.4","309.7","1440","42.8","104","No Failure"
"H32562","300.4","309.8","1448","39.7","107","No Failure"
"H32563","300.4","309.7","1500","35.2","112","No Failure"
"L50330","300.4","309.8","1513","32.9","117","No Failure"
"L50331","300.5","309.8","1428","43.8","119","No Failure"
"M18012","300.5","309.8","1473","42.3","121","No Failure"
"M18013","300.5","309.9","1483","49.3","124","No Failure"
"L50334","300.4","309.7","1534","42.5","127","No Failure"
"L50335","300.5","309.8","1367","54.0","129","No Failure"
"L50336","300.4","309.7","1467","36.9","131","No Failure"
"M18017","300.4","309.7","1488","42.2","133","No Failure"
"L50338","300.4","309.7","1679","30.1","136","No Failure"
"H32573","300.4","309.8","1409","47.5","138","No Failure"
"M18020","300.4","309.7","1367","51.2","143","No Failure"
"L50341","300.4","309.8","1314","63.1","146","No Failure"
"L50342","300.5","309.9","1480","40.0","148","No Failure"
"L50343","300.4","309.8","1549","38.9","150","No Failure"
"L50344","300.4","309.7","1685","31.3","152","No Failure"
"L50345","300.4","309.6","1536","34.5","154","No Failure"
"M18026","300.4","309.7","1539","37.7","156","No Failure"
"L50347","300.4","309.7","1384","45.1","159","No Failure"
"M18028","300.4","309.6","1614","30.3","161","No Failure"
"M18029","300.4","309.6","1675","35.5","164","No Failure"
"M18030","300.4","309.7","1685","32.3","167","No Failure"
"L50351","300.4","309.6","1386","56.9","170","No Failure"
"M18032","300.3","309.6","1488","41.3","172","No Failure"
"L50353","300.3","309.6","1624","32.6","175","No Failure"
"L50354","300.3","309.6","1600","34.6","177","No Failure"
"L50355","300.3","309.6","1468","44.7","179","No Failure"
"L50356","300.3","309.6","1435","45.4","181","No Failure"
"M18037","300.2","309.5","1564","33.4","183","No Failure"
"M18038","300.2","309.4","1329","53.6","186","No Failure"
"L50359","300.1","309.3","1570","36.8","189","No Failure"
"M18040","300.2","309.4","1433","48.8","191","No Failure"
"L50361","300.2","309.4","1527","37.0","194","No Failure"
"M18042","300.1","309.3","1443","50.3","196","No Failure"
"L50363","300.1","309.3","1616","32.0","199","No Failure"
"L50364","300.1","309.3","1654","31.0","201","No Failure"
"L50365","300.1","309.3","1685","27.1","203","No Failure"
"M18046","300.2","309.4","1456","48.8","205","No Failure"
"M18047","300.2","309.4","1752","27.8","208","No Failure"
"M18048","300.1","309.2","1438","51.0","211","No Failure"
"L50369","300.1","309.1","1551","33.7","214","No Failure"
"L50370","300.1","309.2","1599","30.1","216","No Failure"
"M18051","300.1","309.2","1732","33.7","218","No Failure"
"M18052","300.1","309.2","1418","39.8","221","No Failure"
"L50373","300.0","309.1","1401","44.5","0","No Failure"
"L50374","300.0","309.0","1454","51.7","2","No Failure"
"M18055","300.0","309.2","1635","32.4","4","No Failure"
"L50376","300.0","309.1","1489","40.3","7","No Failure"
"L50377","300.0","309.1","1465","40.6","9","No Failure"
"M18058","300.0","309.1","1463","45.7","11","No Failure"
"H32613","300.1","309.1","1560","35.4","14","No Failure"
"M18060","300.1","309.2","1454","44.4","19","No Failure"
"L50381","300.2","309.1","1479","47.0","22","No Failure"
"L50382","300.2","309.2","1430","43.4","24","No Failure"
"M18063","300.1","309.1","1533","38.0","26","No Failure"
"L50384","300.1","309.0","1404","54.8","29","No Failure"
"M18065","300.1","308.9","1548","38.4","31","No Failure"
"M18066","300.1","309.0","1612","33.0","34","No Failure"
"M18067","300.2","309.0","1642","31.2","37","No Failure"
"M18068","300.2","309.1","1406","42.2","40","No Failure"
"L50389","300.3","309.2","1587","31.4","43","No Failure"
"M18070","300.3","309.2","1364","47.6","45","No Failure"
"L50391","300.3","309.2","1462","51.4","48","No Failure"
"L50392","300.3","309.2","1649","32.4","50","No Failure"
"L50393","300.4","309.2","1752","29.0","52","No Failure"
"H32628","300.4","309.3","1396","51.2","54","No Failure"
"M18075","300.5","309.4","2179","16.3","59","No Failure"
"L50396","300.5","309.5","1653","27.6","62","No Failure"
"L50397","300.6","309.5","2025","21.4","64","No Failure"
"L50398","300.6","309.6","1426","53.6","66","No Failure"
"M18079","300.6","309.6","1503","38.4","68","No Failure"
"M18080","300.7","309.6","1525","36.5","71","No Failure"
"L50401","300.6","309.6","1423","49.1","74","No Failure"
"M18082","300.7","309.7","1435","44.7","76","No Failure"
"H32637","300.6","309.5","1495","36.5","79","No Failure"
"M18084","300.6","309.5","1557","33.8","84","No Failure"
"L50405","300.6","309.4","1474","40.7","87","No Failure"
"L50406","300.5","309.3","1465","46.0","89","No Failure"
"M18087","300.5","309.3","1589","34.9","91","No Failure"
"L50408","300.5","309.3","1475","46.8","94","No Failure"
"L50409","300.6","309.4","1442","43.2","96","No Failure"
"L50410","300.6","309.4","1556","36.0","98","No Failure"
"L50411","300.7","309.3","1425","45.3","100","No Failure"
"L50412","300.7","309.3","1580","38.3","102","No Failure"
"H32647","300.8","309.4","1474","40.7","104","No Failure"
"L50414","300.8","309.4","1489","38.4","109","No Failure"
"L50415","300.8","309.4","1946","20.5","111","No Failure"
"M18096","300.8","309.4","1342","62.4","113","Heat Dissipation Failure"
"M18097","300.9","309.5","1758","26.8","116","No Failure"
"M18098","300.9","309.4","1724","25.6","119","No Failure"
"L50419","301.0","309.5","1430","48.5","122","No Failure"
"L50420","300.9","309.5","1612","35.2","124","No Failure"
"H32655","300.9","309.5","1469","43.4","126","No Failure"
"L50422","300.9","309.6","1384","42.4","131","No Failure"
"L50423","301.0","309.6","1724","28.1","133","No Failure"
"M18104","301.0","309.6","1397","48.0","135","No Failure"
"M18105","301.0","309.6","1588","32.7","138","No Failure"
"L50426","301.0","309.7","1468","42.0","141","No Failure"
"M18107","301.0","309.8","1594","31.1","143","No Failure"
"M18108","301.0","309.7","1511","39.3","146","No Failure"
"L50429","301.1","309.8","1493","38.9","149","No Failure"
"H32664","301.2","309.8","1709","27.0","151","No Failure"
"L50431","301.1","309.6","1501","36.1","156","No Failure"
"L50432","301.1","309.7","1668","30.8","158","No Failure"
"L50433","301.1","309.6","1502","48.9","160","No Failure"
"M18114","301.0","309.7","1288","58.4","162","No Failure"
"L50435","301.0","309.7","1491","42.9","165","No Failure"
"L50436","301.1","309.8","1519","39.6","167","No Failure"
"L50437","301.2","309.9","1984","19.7","169","No Failure"
"L50438","301.2","309.9","1643","32.9","171","No Failure"
"M18119","301.2","310.0","1625","31.6","173","No Failure"
"M18120","301.3","310.0","2068","17.8","176","No Failure"
"H32675","301.3","310.1","1469","39.7","179","No Failure"
"L50442","301.3","310.1","1558","36.3","184","No Failure"
"L50443","301.3","310.0","1344","54.8","186","No Failure"
"H32678","301.3","310.1","1455","44.1","188","No Failure"
"L50445","301.3","310.1","1355","53.6","193","No Failure"
"L50446","301.3","310.1","1269","56.8","195","Overstrain Failure"
"L50447","301.3","310.0","1550","41.5","197","No Failure"
"M18128","301.3","310.1","1525","37.8","199","No Failure"
"M18129","301.3","310.0","1696","32.4","202","No Failure"
"L50450","301.4","310.1","1937","21.8","205","No Failure"
"M18131","301.4","310.0","1689","32.1","207","No Failure"
"M18132","301.3","310.0","1593","30.8","210","No Failure"
"M18133","301.3","309.9","1565","36.0","213","No Failure"
"L50454","301.3","310.0","1665","31.4","0","No Failure"
"H32689","301.3","310.0","1532","36.3","2","No Failure"
"L50456","301.3","310.0","1438","40.9","7","No Failure"
"L50457","301.3","310.1","1531","41.6","9","No Failure"
"L50458","301.3","310.0","1506","40.8","11","No Failure"
"L50459","301.2","309.9","1382","52.4","13","No Failure"
"M18140","301.2","309.9","1456","50.8","15","No Failure"
"M18141","301.2","310.0","1445","45.6","18","No Failure"
"L50462","301.2","309.9","1515","40.9","21","No Failure"
"L50463","301.2","309.9","1449","45.5","23","No Failure"
"H32698","301.2","309.9","1362","50.7","25","No Failure"
"L50465","301.2","309.9","1687","29.7","30","No Failure"
"L50466","301.2","310.0","1618","37.6","32","No Failure"
"M18147","301.2","310.1","1558","32.6","34","No Failure"
"L50468","301.3","310.1","1662","31.0","37","No Failure"
"M18149","301.2","310.1","1295","56.6","39","No Failure"
"L50470","301.2","310.2","1385","42.3","42","No Failure"
"M18151","301.2","310.1","1479","45.5","44","No Failure"
"L50472","301.3","310.3","1400","44.3","47","No Failure"
"M18153","301.2","310.3","1357","54.5","49","No Failure"
"L50474","301.1","310.2","1657","34.1","52","No Failure"
"L50475","301.1","310.2","1496","43.4","54","No Failure"
"M18156","301.2","310.3","1379","43.2","56","No Failure"
"L50477","301.2","310.3","1548","38.6","59","No Failure"
"L50478","301.2","310.3","1499","38.1","61","No Failure"
"L50479","301.3","310.5","1390","45.8","63","No Failure"
"H32714","301.3","310.4","1538","38.4","65","No Failure"
"L50481","301.3","310.5","1365","47.7","70","No Failure"
"L50482","301.3","310.5","1503","48.6","72","No Failure"
"L50483","301.2","310.4","1390","49.9","74","No Failure"
"L50484","301.2","310.3","1497","45.7","76","No Failure"
"M18165","301.3","310.4","1577","48.3","78","No Failure"
"L50486","301.4","310.5","1432","54.3","81","No Failure"
"M18167","301.4","310.5","1563","39.9","83","No Failure"
"L50488","301.4","310.4","1433","43.4","86","No Failure"
"L50489","301.3","310.4","1384","50.1","88","No Failure"
"L50490","301.3","310.4","1346","46.7","90","No Failure"
"L50491","301.3","310.4","1459","44.7","92","No Failure"
"L50492","301.4","310.4","1639","28.9","94","No Failure"
"L50493","301.4","310.4","1737","31.9","96","No Failure"
"L50494","301.4","310.5","1489","43.5","98","No Failure"
"M18175","301.5","310.6","1492","43.0","100","No Failure"
"M18176","301.4","310.5","1217","60.6","103","No Failure"
"L50497","301.5","310.5","1636","28.7","106","No Failure"
"L50498","301.4","310.4","1436","49.7","108","No Failure"
"L50499","301.4","310.4","1689","30.6","110","No Failure"
"L50500","301.5","310.5","2289","16.4","112","No Failure"
"L50501","301.5","310.6","1522","41.0","114","No Failure"
"L50502","301.5","310.5","1351","52.9","116","No Failure"
"L50503","301.5","310.5","1589","36.7","118","No Failure"
"L50504","301.5","310.6","1578","34.1","120","No Failure"
"L50505","301.5","310.6","1587","33.7","122","No Failure"
"L50506","301.5","310.6","1962","20.2","124","No Failure"
"M18187","301.5","310.6","2432","14.2","126","No Failure"
"L50508","301.6","310.6","1418","43.9","129","No Failure"
"L50509","301.6","310.7","1683","29.7","131","No Failure"
"L50510","301.7","310.8","1385","50.7","133","No Failure"
"L50511","301.7","310.8","1559","44.5","135","No Failure"
"M18192","301.7","310.8","1671","31.6","137","No Failure"
"M18193","301.6","310.8","1343","49.5","140","No Failure"
"M18194","301.6","310.8","1548","34.2","143","No Failure"
"L50515","301.7","310.9","1705","31.2","146","No Failure"
"L50516","301.6","310.8","1535","35.4","148","No Failure"
"L50517","301.6","310.8","1564","34.1","150","No Failure"
"M18198","301.6","310.9","1510","40.9","152","No Failure"
"L50519","301.6","310.9","1492","45.2","155","No Failure"
"M18200","301.5","310.8","1452","44.1","157","No Failure"
"H32755","301.4","310.7","1329","52.0","160","No Failure"
"L50522","301.5","310.8","1382","52.4","165","No Failure"
"M18203","301.5","310.8","1628","36.4","167","No Failure"
"L50524","301.4","310.7","1706","27.9","170","No Failure"
"L50525","301.3","310.7","1594","34.1","172","No Failure"
"L50526","301.3","310.7","1761","24.3","174","No Failure"
"L50527","301.3","310.6","1529","41.8","176","No Failure"
"M18208","301.3","310.7","1532","40.7","178","No Failure"
"L50529","301.4","310.7","1673","27.8","181","No Failure"
"L50530","301.4","310.8","1285","62.6","183","Overstrain Failure"
"L50531","301.4","310.8","1680","31.4","185","No Failure"
"L50532","301.4","310.8","1610","34.6","187","No Failure"
"L50533","301.6","310.9","1632","31.6","189","No Failure"
"L50534","301.6","310.9","1559","40.2","191","No Failure"
"L50535","301.5","310.8","1367","49.0","193","No Failure"
"L50536","301.6","310.8","1355","57.8","195","Overstrain Failure"
"H32771","301.6","310.7","1414","51.7","197","No Failure"
"L50538","301.5","310.6","1522","36.6","202","No Failure"
"L50539","301.5","310.6","1525","41.9","204","No Failure"
"L50540","301.5","310.6","1394","46.5","206","No Failure"
"L50541","301.5","310.6","1519","40.7","208","No Failure"
"L50542","301.4","310.6","1445","43.9","210","No Failure"
"L50543","301.4","310.6","1555","43.3","212","No Failure"
"L50544","301.4","310.5","1633","39.5","0","No Failure"
"M18225","301.4","310.6","1630","30.3","2","No Failure"
"M18226","301.4","310.7","1692","32.3","5","No Failure"
"H32781","301.5","310.7","1790","26.2","8","No Failure"
"L50548","301.5","310.8","1350","58.5","13","No Failure"
"L50549","301.5","310.9","2760","8.0","15","Power Failure"
"L50550","301.4","310.7","1584","32.2","17","No Failure"
"L50551","301.4","310.7","1989","21.8","19","No Failure"
